profile_id,agent_id,best_response_gap
a0:cost_plus_agent_0|a1:cost_plus_agent_1,0,-69073.82475730045
a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,-69038.19634988636
a0:cost_plus_agent_0|a1:hist_quantile_agent_1,0,-68824.91418121726
a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,69038.19634988636
a0:cost_plus_agent_0|a1:learned_agent_1,0,-69072.13057659048
a0:cost_plus_agent_0|a1:learned_agent_1,1,98958.63083211453
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,0,-69080.80422753203
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,1,90702.97306672942
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,0,-69059.27482805532
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,1,111486.74336383675
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,0,-69072.72125996357
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,1,112152.95556828592
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,0,-69069.76383344387
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,85469.56159327597
a0:hist_quantile_agent_0|a1:cost_plus_agent_1,0,69073.82475730045
a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,-69118.86441514181
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,0,68824.91418121726
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,69118.86441514181
a0:hist_quantile_agent_0|a1:learned_agent_1,0,69072.13057659048
a0:hist_quantile_agent_0|a1:learned_agent_1,1,99005.42459510066
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,0,69080.80422753203
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,1,90759.97839061101
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,0,69059.27482805532
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,1,111531.2337878962
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,0,69072.72125996357
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,1,112205.5661133413
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,0,69069.76383344387
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,85511.47408263202
a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1,0,76449.08324385405
a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1,1,-69073.51903810704
a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1,0,76472.44066899773
a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1,1,69073.51903810704
a0:learned_agent_0__price_down_1|a1:learned_agent_1,0,76492.13202970453
a0:learned_agent_0__price_down_1|a1:learned_agent_1,1,99126.48940651186
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1,0,76486.64796255036
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1,1,90786.69680120017
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1,0,76445.54861562891
a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1,1,111653.61585430414
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1,0,76496.58535996368
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1,1,112325.20397425721
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1,0,76483.91638251726
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1,1,85628.8363734908
a0:learned_agent_0__price_up_1|a1:cost_plus_agent_1,0,102991.12819564177
a0:learned_agent_0__price_up_1|a1:cost_plus_agent_1,1,-69078.04906344513
a0:learned_agent_0__price_up_1|a1:hist_quantile_agent_1,0,103015.68312885208
a0:learned_agent_0__price_up_1|a1:hist_quantile_agent_1,1,69078.04906344513
a0:learned_agent_0__price_up_1|a1:learned_agent_1,0,103037.2911621553
a0:learned_agent_0__price_up_1|a1:learned_agent_1,1,99153.95498219118
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_down_1,0,103035.89644630312
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_down_1,1,90795.04226368738
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_up_1,0,102963.82805101182
a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_up_1,1,111685.50372270515
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_down_1,0,103041.9441441725
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_down_1,1,112355.13173244393
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_up_1,0,103028.87923400794
a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_up_1,1,85653.59459592018
a0:learned_agent_0__quantity_down_1|a1:cost_plus_agent_1,0,105282.9475559733
a0:learned_agent_0__quantity_down_1|a1:cost_plus_agent_1,1,-69079.42434099957
a0:learned_agent_0__quantity_down_1|a1:hist_quantile_agent_1,0,105296.10657078166
a0:learned_agent_0__quantity_down_1|a1:hist_quantile_agent_1,1,69079.42434099957
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1,0,105315.0061482215
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1,1,99133.19076349818
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_down_1,0,105313.47817932209
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_down_1,1,90797.89331461364
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1,0,105263.58158471904
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1,1,111665.48259100513
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,0,105291.40796810623
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,1,112318.51197357583
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,0,105307.93739361805
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,1,85636.75561649476
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,0,76892.71911581248
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,1,-69079.50967937036
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,0,76900.82756464154
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,1,69079.50967937036
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,0,76911.51928171978
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,1,99092.61793095448
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,0,76911.54185825339
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,1,90793.99533100212
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,0,76892.13018430553
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,1,111620.56309300521
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,0,76918.27513340149
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,1,112292.80220131727
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,0,76904.9998979411
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,1,85595.77485984417
a0:learned_agent_0|a1:cost_plus_agent_1,0,90899.59843464402
a0:learned_agent_0|a1:cost_plus_agent_1,1,-69081.27748496555
a0:learned_agent_0|a1:hist_quantile_agent_1,0,90912.16595589739
a0:learned_agent_0|a1:hist_quantile_agent_1,1,69081.27748496555
a0:learned_agent_0|a1:learned_agent_1,0,90927.62958273996
a0:learned_agent_0|a1:learned_agent_1,1,99138.0397393265
a0:learned_agent_0|a1:learned_agent_1__price_down_1,0,90926.09864681528
a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,90798.89413578076
a0:learned_agent_0|a1:learned_agent_1__price_up_1,0,90864.6754388577
a0:learned_agent_0|a1:learned_agent_1__price_up_1,1,111667.23997186174
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,0,90932.2472639103
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,1,112337.0054549466
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,0,90919.21765459258
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,85639.91836705916
