episode,n_steps,n_unique_states,n_unique_sa_pairs,mean_price,std_price,mean_demand,state_entropy
0,335,39,98,26.97319073636929,14.199608791791757,54581.564179104476,0.5503
1,335,39,39,27.89824154481808,14.090663267706605,54882.692537313436,0.5501
2,335,39,39,27.397534403102934,14.880546857191181,55185.385074626865,0.5483
3,335,39,39,27.70482515911014,13.980975182906654,55438.3223880597,0.5462
4,335,39,39,28.755566452617668,13.48176435324762,56408.05373134329,0.5477
5,335,39,39,30.51175351870252,14.747281570241952,57018.068656716416,0.5473
6,335,39,39,32.431618036797296,17.126442889206473,57611.14029850746,0.5493
7,335,40,40,37.280386270669226,26.457332841557594,58055.62985074627,0.5552
8,335,40,40,36.42817844322066,26.692700763153763,57860.03283582089,0.5516
9,335,40,40,36.262382200593954,26.57105507689496,57444.7671641791,0.5469
10,335,40,40,35.81694285810099,26.849852348430588,57000.1223880597,0.5446
11,335,40,40,35.62639745415269,26.75910009096971,56623.85970149254,0.5484
12,335,40,40,35.72199649721259,26.55433285663184,56549.149253731346,0.5527
13,335,40,40,35.581535986454924,26.406986935853137,56243.844776119404,0.5549
14,335,40,40,35.46299587999232,26.446757730172337,55934.429850746266,0.5563
15,335,40,40,34.9593487493654,26.49864956183539,55549.77611940299,0.5609
16,335,40,40,34.32358499203668,26.691582361957977,55254.525373134325,0.5598
17,335,40,40,35.30681369552383,26.457184892688378,55149.03582089552,0.5595
18,335,40,40,35.54062741076682,26.71988729406641,54105.33432835821,0.5549
19,335,39,39,32.76590909940241,26.165168872183056,52476.289552238806,0.5511
20,335,39,39,30.21363534535647,24.8711320360945,50884.28358208955,0.5517
21,335,38,38,25.01922240641674,11.915109905062724,49420.95223880597,0.544
22,335,36,36,24.216399012257465,10.81232439952744,48578.12537313433,0.5298
23,335,35,35,23.820865864542444,10.237808793902113,47861.09253731343,0.5307
24,335,35,35,22.416066617092262,10.18029012962716,47420.24179104478,0.5272
25,335,34,34,22.860491047827285,10.28140800840746,47380.00597014926,0.5238
26,335,33,33,22.65470818814497,9.623469979939372,47176.49552238806,0.5242
27,335,33,33,21.874220493763776,9.553740944884323,47177.82985074627,0.5243
28,335,33,33,22.460681765516505,10.131211066541525,47410.03283582089,0.5182
29,335,34,34,21.759265234163216,10.11406782856703,48201.337313432836,0.5232
30,335,35,35,22.638242083592484,10.227740819961195,48886.36716417911,0.5242
31,335,36,36,22.416952048988218,10.324011238246527,49088.15223880597,0.5358
32,335,36,36,22.882722887031566,10.369434890925525,49510.68059701493,0.5377
33,335,36,36,23.555483803735118,10.671357096641623,50133.292537313435,0.539
34,335,36,36,23.588778590852208,9.867393552372436,50347.05970149254,0.5405
35,335,36,36,24.363907174538564,10.034634584249243,51809.4,0.5434
36,335,36,36,30.457384015064648,41.24826512845091,53650.53731343283,0.5442
37,335,40,40,34.09461479318502,43.38792045151584,55085.45671641791,0.5606
38,335,40,40,36.839887849369696,43.83371697454324,56169.45671641791,0.5663
39,335,40,40,37.120639220641756,43.19474929698496,56619.99701492537,0.5685
40,335,40,40,37.5532282994406,43.90097190753948,56608.26865671642,0.5653
41,335,40,40,38.00618629172941,43.61361353749007,56256.653731343285,0.5635
42,335,40,40,37.04794382687604,44.437773214112696,55835.558208955226,0.5606
43,335,40,40,37.44279119586207,44.1744213206963,54993.83880597015,0.5519
44,335,40,40,36.94446769010887,44.129981788097616,54238.53134328358,0.5523
45,335,38,38,37.88152471179752,44.08052725435062,53887.54029850746,0.5438
46,335,38,38,37.96579578718218,44.05397336328244,53436.841791044775,0.5444
47,335,38,38,38.10665050483394,44.13002110025518,52846.18208955224,0.5423
48,335,38,38,38.481330883685565,43.873588452860425,52599.75820895522,0.5424
49,335,38,38,38.99843784238431,43.861825775020755,50976.31641791045,0.5401
50,335,38,38,32.52730549675162,20.820562166348772,49093.020895522386,0.5372
51,335,37,37,29.697189293153073,15.83767941434665,47516.26567164179,0.5336
52,335,36,36,29.25301382491207,15.159464832238971,46355.020895522386,0.531
53,335,36,36,27.872090560540148,14.902821102447065,45918.13731343284,0.5295
54,335,36,36,29.099152195602095,17.012817754190554,45785.35223880597,0.5267
55,335,37,37,28.541749596014796,17.519735868539676,45776.931343283584,0.5321
56,335,37,37,28.76199886500263,16.923613127783455,45839.33432835821,0.5344
57,335,38,38,29.404865348683206,17.89406510561252,46020.346268656715,0.5381
58,335,38,38,30.50243356086017,18.220139057517247,46284.08656716418,0.5428
59,335,39,39,30.080758254371457,18.57082442432459,46437.04179104478,0.546
60,335,39,39,31.52097837730259,19.207208865088315,46375.528358208954,0.5405
61,335,39,39,32.08692930661479,21.864356323353242,46326.30447761194,0.5421
62,335,39,39,32.08881299397179,21.900849570595867,46353.45970149254,0.5345
63,335,39,39,31.23255091944702,22.48425024036662,46496.12835820895,0.536
64,335,39,39,31.67584989145496,21.971274410097678,46414.66567164179,0.5295
65,335,39,39,31.24464571850296,22.440684774911784,46349.558208955226,0.5348
66,335,39,39,29.765129208156996,21.692903878826538,46184.81194029851,0.5278
67,335,38,38,30.157026059045247,21.396734462200683,46202.119402985074,0.5184
68,335,38,38,29.133916662287078,20.14182835009305,46272.81791044776,0.5231
69,335,39,39,31.438011083409457,24.25795846433331,46516.68059701493,0.5277
70,335,39,39,31.96822584873714,24.503637150319143,46802.99402985074,0.5328
71,335,38,38,30.911027478900415,24.858056418552188,46761.880597014926,0.5296
72,335,38,38,31.602384896723752,23.94792153660217,46522.21791044776,0.5282
73,335,36,36,31.783708264463694,23.606436723136806,46625.64179104478,0.5222
74,335,36,36,30.675320171079218,22.336840910596084,47094.9223880597,0.5268
75,335,34,34,31.001663395276264,21.228853505945015,47375.35820895522,0.5264
76,335,36,36,32.54246603423895,21.300030114648095,47525.14328358209,0.5352
77,335,35,35,33.251577622579546,20.516339201045096,47901.2776119403,0.5288
78,335,35,35,35.271817489490516,23.582647025650296,48403.17910447761,0.5299
79,335,35,35,36.60589086983751,23.73098278764649,48892.40597014925,0.531
80,335,34,34,37.45804334585339,23.375538734798706,49235.44776119403,0.5261
81,335,32,32,37.31342185750354,23.569345125965054,49201.259701492534,0.5177
82,335,35,35,37.178082424946545,23.808299466112604,49070.96119402985,0.5259
83,335,35,35,36.20564249169525,20.202247332014323,48785.28358208955,0.53
84,335,37,37,34.93985742475242,20.09371642406646,48498.8328358209,0.5336
85,335,38,38,35.18988538728474,20.28421098006045,48542.99402985074,0.5425
86,335,38,38,35.013188227152895,20.46329339547573,48822.90149253731,0.5378
87,335,38,38,34.53306983946462,21.403821364050728,48888.844776119404,0.5376
88,335,38,38,33.69479366090952,22.290379055069707,48925.32537313433,0.5352
89,335,37,37,32.41719881139388,21.455821511049358,49170.94328358209,0.5317
90,335,37,37,32.36422175208848,21.362967909529015,49289.934328358206,0.5334
91,335,37,37,31.40812698674502,21.32712123508539,49082.24776119403,0.5303
92,335,37,37,28.781438188789938,17.899847827278485,49106.53731343283,0.5247
93,335,35,35,27.430912696381466,16.85372492047119,49204.15223880597,0.5179
94,335,34,34,26.57748395625332,17.004612216764095,49384.8328358209,0.5131
95,335,33,33,26.69174660969604,16.519478057805507,49590.86865671642,0.5045
96,335,33,33,28.64681225090284,23.460445338225956,49756.0776119403,0.5097
97,335,34,34,28.22763990139324,22.76443432760649,50252.24776119403,0.5132
98,335,34,34,29.168239867105854,22.68068254509266,50728.79104477612,0.5133
99,335,33,33,30.070589978683245,22.80859578268918,51030.51641791045,0.5181
100,335,35,35,30.97036888452859,23.13349245201334,51136.116417910445,0.5286
101,335,35,35,31.123404306419655,22.95057118964043,51397.97014925373,0.5318
102,335,35,35,31.487604750890718,23.106490443941084,51541.576119402984,0.5342
103,335,36,36,31.28685286777091,22.461904166759695,51698.928358208956,0.5364
104,335,36,36,31.47139917294454,22.14000661823263,52003.388059701494,0.5352
105,335,36,36,32.36529235805517,22.039395351143735,52294.477611940296,0.5346
106,335,36,36,32.84098517667409,21.895519813125865,52261.931343283584,0.5346
107,335,36,36,34.329533733497655,23.685369790973443,52155.90447761194,0.5299
108,335,36,36,33.597516800559255,24.019466889342045,51801.96716417911,0.5252
109,335,36,36,33.4310111276552,24.222350119210912,51531.1223880597,0.5235
110,335,36,36,30.596222847363926,18.498745904970757,51519.19402985075,0.5195
111,335,36,36,30.480465546263083,17.393389425630662,51232.90149253731,0.5213
112,335,36,36,30.949774548164285,18.145871728622122,51016.99402985074,0.5253
113,335,36,36,29.68899290365768,18.847271341469263,50980.99402985074,0.5282
114,335,33,33,29.39421020820708,18.614492111895004,50832.32537313433,0.5157
115,335,32,32,28.95820594072366,17.86502591423954,50560.385074626865,0.5074
116,335,32,32,29.431719142778707,18.511520879344985,50150.567164179105,0.509
117,335,31,31,29.238358514939545,18.79032309047606,49729.08358208955,0.5021
118,335,31,31,28.91288372892631,19.305177107022676,49820.89850746268,0.5023
119,335,33,33,28.656511099057475,19.367442728266756,50368.17611940298,0.5086
120,335,34,34,27.917898774913755,19.602067923914504,51051.08955223881,0.5116
121,335,34,34,27.902263227868737,19.035021832780213,51748.58208955224,0.5093
122,335,34,34,27.861896790999612,20.340281971199147,52766.75820895522,0.5066
123,335,34,34,27.663223615944446,19.54217497619352,53768.89552238806,0.5038
124,335,34,34,28.290937307298954,19.59025607477238,54634.928358208956,0.505
125,335,34,34,28.734313298415394,19.65712770552316,55472.10149253732,0.5079
126,335,36,36,31.187896745362583,43.3189762881553,56000.58507462686,0.5073
127,335,34,34,31.663394304017356,43.357572356314776,56646.78507462687,0.4982
128,335,35,35,31.740970803163336,43.13200861939396,57564.850746268654,0.5013
129,335,35,35,31.697507398387938,42.69608075097847,58672.03880597015,0.5073
130,335,34,34,31.586810206206195,42.875970534566534,59861.611940298506,0.5068
131,335,33,33,31.4064737390941,43.1261997949934,60565.113432835824,0.5001
132,335,33,33,32.142630945404264,42.414666230047935,60438.32835820896,0.5011
133,335,33,33,33.02756815889951,42.84141189558815,60029.46567164179,0.5035
134,335,33,33,33.454046779763004,41.820544821389824,59627.69552238806,0.5115
135,335,33,33,33.58704299093949,41.48269278666405,59302.13731343284,0.5182
136,335,33,33,34.251218047643924,41.05534250745465,58888.979104477614,0.526
137,335,33,33,34.98158472184605,41.855112651114574,58717.15223880597,0.5273
138,335,32,32,35.25613812509263,41.47516755840445,58812.78507462687,0.5251
139,335,32,32,34.45718666548448,41.27817420701362,59004.45373134328,0.5241
140,335,32,32,31.223540333239107,14.675767248019655,59252.39701492537,0.5246
141,335,32,32,30.991506224290745,13.759876222347543,59238.64179104478,0.5261
142,335,33,33,30.815717319265598,14.329242142783079,59385.54328358209,0.5246
143,335,33,33,30.976172066837297,13.88806350232768,59448.746268656716,0.5234
144,335,33,33,31.074823205377132,14.625953387158402,59517.522388059704,0.5242
145,335,33,33,30.64755815311463,15.160656286660116,59847.41492537314,0.5225
146,335,32,32,31.210811698929042,15.09059961289353,60328.110447761195,0.5197
147,335,32,32,29.851749919487773,14.840692244863103,60478.77910447761,0.522
148,335,32,32,30.345879733150486,14.78328499437999,60407.18805970149,0.5192
149,335,32,32,29.616233321244852,14.597160497105433,60534.707462686565,0.5159
150,335,31,31,29.120400781983214,13.95740194588489,61064.30149253731,0.5106
151,335,31,31,28.258629789050513,13.432453064955725,61377.08955223881,0.5082
152,335,30,30,28.96401819671144,13.009568692505622,61126.7671641791,0.5058
153,335,31,31,28.374256424357146,13.398753041178866,61203.85970149254,0.509
154,335,31,31,27.886949126781722,13.15065930413443,61576.605970149256,0.5102
155,335,31,31,27.31429376930232,13.964767275109114,61946.21492537313,0.5079
156,335,32,32,28.025536944418725,14.090272820833311,62149.19104477612,0.511
157,335,32,32,27.609770753925243,13.593716406332085,62217.73134328358,0.5112
158,335,32,32,27.161551873864365,12.695073703450745,62210.76119402985,0.5122
159,335,32,32,27.312653821752523,12.756077392177469,62372.54328358209,0.5133
160,335,32,32,26.247847248432695,11.890592123498473,62652.04179104478,0.5126
161,335,31,31,26.354309713355025,11.986624089959207,63106.63880597015,0.5078
162,335,31,31,25.397617630561722,11.610110574601114,63626.14029850746,0.5072
163,335,30,30,25.493475377439694,11.434321311086093,63955.22985074627,0.5027
164,335,30,30,25.133143171029072,11.534799132095616,64101.73432835821,0.5027
165,335,30,30,25.65365285893466,11.81385838061783,64305.26865671642,0.5016
166,335,30,30,24.576568894379566,11.352722294338657,64654.883582089555,0.5002
167,335,27,27,25.86089555397585,11.913758089444393,64482.14029850746,0.4899
168,335,28,28,27.05376439039445,12.453308322743736,64304.253731343284,0.4998
169,335,29,29,27.018195095583142,11.435986961484238,63977.22388059701,0.5069
170,335,29,29,26.64999696572101,11.073901330004269,63343.05970149254,0.5078
171,335,29,29,26.62138254997098,11.251275187962205,62771.05970149254,0.5075
172,335,29,29,26.813196653795853,11.326177453751047,62321.82388059702,0.5069
173,335,28,28,27.443536229370924,10.8913450322666,62012.33432835821,0.5075
174,335,28,28,27.81640296217888,11.29721572872252,61862.03582089552,0.5101
175,335,29,29,27.660074755656225,10.824780133266488,61653.21492537313,0.5111
176,335,29,29,27.59395052349724,11.37894848204468,61612.522388059704,0.5105
177,335,29,29,27.344952412193607,11.642157319724145,61719.85373134328,0.5101
178,335,30,30,26.600129886150004,11.231722705980628,61647.10447761194,0.5137
179,335,31,31,27.476040789140647,11.378621923170375,61377.41791044776,0.5143
180,335,31,31,27.386967475305944,11.218900599217012,61177.96716417911,0.5108
181,335,32,32,26.73126096431659,10.825993377456282,61392.071641791044,0.5118
182,335,32,32,25.92538151107779,10.099524723478343,61589.441791044774,0.5086
183,335,30,30,25.89576914957715,10.091722211230222,61922.934328358206,0.4983
184,335,31,31,26.735254161427836,10.541561321839456,62432.85373134328,0.4999
185,335,32,32,26.60060465810556,10.932592450017754,63024.98805970149,0.5053
186,335,32,32,27.11423638469625,11.048416194982524,63587.16119402985,0.5071
187,335,32,32,26.316806887649875,10.769128133934283,63977.81791044776,0.5069
188,335,32,32,25.98321770480473,10.962381482904906,64339.388059701494,0.5019
189,335,32,32,25.65583977568065,11.334979957723766,64854.522388059704,0.5022
190,335,32,32,26.6548276388252,11.604351578262822,65355.7671641791,0.4979
191,335,34,34,28.01497909605579,12.95253063869714,65542.77611940299,0.5059
192,335,35,35,28.99859119398397,13.616842160715882,65651.90149253732,0.5107
193,335,34,34,28.98521404271749,13.705149166146873,65981.22388059701,0.5111
194,335,34,34,28.274718869437557,13.421723999780768,63412.60298507463,0.5105
195,335,32,32,28.719807923424753,13.40641761029606,58760.570149253734,0.5034
196,335,32,32,29.548947601700455,14.605583865224538,54029.85373134328,0.5019
197,335,32,32,32.02951820564896,24.630936962630635,49307.22686567164,0.5004
198,335,32,32,32.52316935546387,23.894257053837357,44617.57910447761,0.4986
199,335,33,33,33.62358440350725,23.978001041715284,39917.71940298507,0.5065
