episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
65,100529559.27812737,0.6972,0.6972,200877117.90848735,0.7301,0.7301,329002914.2895184,0.7276,0.7276,282239832.7993419,0.6876,0.6876,60214050.03440876,0.6521,0.6521,155921089.09800488,0.6856,0.6856,165530281.61380512,0.7067,0.7067,689984374.1883959,-0.0,158318765.89706603,0.4312
66,82362526.76172692,0.6883,0.6883,169741155.52573535,0.7238,0.7238,290466805.3265982,0.7238,0.7238,284135895.6334678,0.6817,0.6817,55688706.00827161,0.6531,0.6531,136355231.9483488,0.6799,0.6799,136571460.51577693,0.7024,0.7024,580033059.3308307,-0.0,133968342.87002447,0.4312
67,64132417.24092323,0.6776,0.6776,125869979.24590206,0.7164,0.7164,228310768.09841362,0.708,0.708,252280548.7221238,0.6791,0.6791,47182600.561963074,0.6486,0.6486,109755711.13087592,0.666,0.666,91537736.1309026,0.6899,0.6899,381883369.06992084,-0.0,102787938.38142501,0.4316
68,58592830.86408781,0.6855,0.6855,105460782.75776483,0.7214,0.7214,202344130.01827514,0.7106,0.7106,216161026.3194518,0.6831,0.6831,57799805.01773112,0.6537,0.6537,101859598.06456478,0.6726,0.6726,95957002.26314725,0.6948,0.6948,359370284.36993843,-0.0,127515692.37992547,0.4317
69,45336388.36772992,0.6872,0.6872,103488276.98067997,0.7252,0.7252,173939677.49581668,0.714,0.714,179367359.9342043,0.6836,0.6836,53121450.85503321,0.6587,0.6587,89164513.30003208,0.6792,0.6792,79068487.87274398,0.6932,0.6932,263572216.17458338,-0.0,118954258.21070293,0.4316
70,35159254.32982229,0.6901,0.6901,105380689.7401354,0.7319,0.7319,165883368.76586625,0.7209,0.7209,174326901.23625934,0.6852,0.6852,50922081.125401765,0.6579,0.6579,83632699.29995687,0.69,0.69,75549540.33301355,0.7002,0.7002,215971555.4873249,-0.0,113612850.74192446,0.4312
71,31257890.91655493,0.6897,0.6897,93172424.60748807,0.7254,0.7254,125389589.64373788,0.7187,0.7187,147909429.89508337,0.6819,0.6819,52474089.11502827,0.6527,0.6527,73395900.59264384,0.6936,0.6936,74411707.44281527,0.7024,0.7024,178222302.1389666,-0.0,129941152.17846234,0.4312
72,30637437.778087404,0.6813,0.6813,90197455.90238182,0.7275,0.7275,103714257.25162551,0.7146,0.7146,126656021.39274494,0.68,0.68,52679727.75819308,0.6579,0.6579,64368366.59814941,0.6972,0.6972,84904326.9385671,0.6979,0.6979,161708436.81794393,-0.0,134449032.68338332,0.4312
73,36170081.90161662,0.6787,0.6787,67498364.06486627,0.7271,0.7271,91990425.00127697,0.71,0.71,95854324.24565257,0.6729,0.6729,50224675.980362415,0.6456,0.6456,54116824.67353148,0.6946,0.6946,75380079.66634378,0.6953,0.6953,152733321.5834504,-0.0,136373719.30746993,0.4312
74,41991370.21604355,0.6886,0.6886,60402906.17871135,0.7295,0.7295,95243817.77939868,0.7115,0.7115,69998976.65287367,0.6738,0.6738,49363710.22172679,0.6497,0.6497,56577809.78074181,0.697,0.697,76357221.16502813,0.7006,0.7006,199996698.66469306,-0.0,139685022.4398659,0.4316
75,43573687.40871683,0.6839,0.6839,60414742.28296264,0.7356,0.7356,94471515.79225875,0.7079,0.7079,84160707.65780458,0.6683,0.6683,43264119.19403525,0.6534,0.6534,65403244.6020814,0.6962,0.6962,69619114.53697339,0.6955,0.6955,228229811.61742973,-0.0,135368747.6538963,0.4317
76,33719350.81449875,0.6941,0.6941,66925348.78390606,0.7391,0.7391,91729582.32152656,0.7145,0.7145,85629231.39204755,0.677,0.677,32729055.685268335,0.6527,0.6527,56036600.19806297,0.7067,0.7067,56413835.97911488,0.7038,0.7038,191617073.73094162,-0.0,96413065.10469642,0.4316
77,33032325.834544975,0.6897,0.6897,81125695.270162,0.7316,0.7316,93118106.52632506,0.7071,0.7071,88107611.00011066,0.669,0.669,45618126.28261881,0.6448,0.6448,46457941.12088067,0.7053,0.7053,64286527.605605885,0.6976,0.6976,161188968.03014106,-0.0,80433407.67456332,0.4312
78,56091617.90254967,0.6905,0.6905,169357816.8055541,0.7299,0.7299,189516616.87945476,0.7076,0.7076,124519322.76103534,0.6731,0.6731,103424934.42401928,0.6468,0.6468,63840942.240728095,0.7089,0.7089,136618792.4180175,0.6973,0.6973,264873919.86762506,-0.0,108329044.22517672,0.4312
79,115154575.72588044,0.6985,0.6985,292868629.6593078,0.7234,0.7234,342544066.0837349,0.7096,0.7096,216378714.25797173,0.6754,0.6754,184638068.42147204,0.642,0.642,117184831.66009818,0.7066,0.7066,225297699.18934086,0.7087,0.7087,571339265.9918449,-0.0,238344198.55081904,0.4312
80,185700871.50169182,0.6905,0.6905,392404296.3544444,0.7193,0.7193,515572445.821601,0.7051,0.7051,326705261.7633953,0.6751,0.6751,275615594.6626592,0.6326,0.6326,182247241.16962484,0.7028,0.7028,332542203.08301765,0.7037,0.7037,902002282.9364944,-0.0,421750649.5532522,0.4312
81,226431821.0237511,0.6807,0.6807,438824274.16885465,0.7128,0.7128,574863449.9659278,0.6939,0.6939,369879574.207669,0.6762,0.6762,294038837.6016045,0.6183,0.6183,190850939.47454432,0.6918,0.6918,355770552.3733088,0.6912,0.6912,1019435802.5950692,-0.0,531355796.3911642,0.4316
82,259563909.5033957,0.6888,0.6888,422382673.6407674,0.7186,0.7186,556954572.3080165,0.709,0.709,364803639.5978476,0.6839,0.6839,280070841.7655848,0.6245,0.6245,189302172.0160848,0.6943,0.6943,361311176.64031625,0.6974,0.6974,1114539826.9158819,-0.0,622260839.8170556,0.4317
83,283132017.7526212,0.6938,0.6938,432479810.57437515,0.72,0.72,584123669.3015071,0.7178,0.7178,388845619.489375,0.687,0.687,283027824.6073517,0.6288,0.6288,204386589.1709941,0.6973,0.6973,357359979.3060063,0.7026,0.7026,1207885974.9921174,-0.0,677315540.5528407,0.4316
84,283256855.21117,0.7029,0.7029,427583671.7085404,0.7266,0.7266,589894423.201351,0.7248,0.7248,389114986.2238354,0.6919,0.6919,270005542.98206866,0.6334,0.6334,204405011.25495073,0.7016,0.7016,341153744.0642508,0.7082,0.7082,1217477757.1296191,-0.0,689042146.6000296,0.4312
85,272918806.9833685,0.7098,0.7098,402647775.37181824,0.736,0.736,574226013.0826313,0.7373,0.7373,383841013.74350446,0.6997,0.6997,237084190.13517267,0.6429,0.6429,199479727.39726925,0.7095,0.7095,303011838.6063211,0.7155,0.7155,1172832844.8562284,-0.0,645589220.0649441,0.4312
86,254747533.6139273,0.7056,0.7056,373125535.0836557,0.7311,0.7311,536059352.8834219,0.7353,0.7353,372363918.31283754,0.6965,0.6965,217887246.56076023,0.6339,0.6339,197683100.95771015,0.7022,0.7022,295249336.6907604,0.7067,0.7067,1134506368.2536314,-0.0,597301553.1485534,0.4312
87,208845893.87722906,0.7037,0.7037,317207986.80292076,0.7318,0.7318,450329774.4097222,0.7342,0.7342,353498140.5118841,0.6958,0.6958,177692878.33259556,0.637,0.637,182544849.14666018,0.7029,0.7029,269749739.61382204,0.7029,0.7029,1082793729.9352114,-0.0,500247146.27277726,0.4312
88,157188840.0079496,0.6991,0.6991,243097088.82129908,0.7297,0.7297,346643040.30551046,0.7326,0.7326,315288561.1950219,0.6875,0.6875,152952576.3160501,0.631,0.631,159741135.1448432,0.7021,0.7021,224309471.43950647,0.7039,0.7039,833292472.2044729,-0.0,379789425.7459034,0.4316
89,119279560.69813046,0.6987,0.6987,190472826.79132622,0.7266,0.7266,247689385.14083058,0.7255,0.7255,207225454.47739446,0.6867,0.6867,125575033.47651678,0.629,0.629,98071921.59743571,0.6925,0.6925,208411040.82919833,0.7013,0.7013,577159379.7807634,-0.0,300774563.9328408,0.4317
90,107982157.42140566,0.7007,0.7007,180797936.18716347,0.7303,0.7303,182926296.3527117,0.7259,0.7259,147051153.91411158,0.6871,0.6871,134932154.31949675,0.6378,0.6378,67156332.37451817,0.6928,0.6928,201014404.0896847,0.704,0.704,390589700.9530074,-0.0,302045683.6752686,0.4316
91,126655340.89333709,0.6992,0.6992,216022091.0395115,0.732,0.732,155989095.94794098,0.721,0.721,137855924.3669038,0.6831,0.6831,181448491.90171543,0.6303,0.6303,52792308.38492592,0.6886,0.6886,238634558.14427236,0.701,0.701,286757304.0766628,-0.0,344403977.3469976,0.4312
92,229762080.33000582,0.6889,0.6889,386090846.6203733,0.7273,0.7273,385358612.55793923,0.7136,0.7136,263449739.9515797,0.6738,0.6738,324737380.22716975,0.6272,0.6272,126403012.88227071,0.6815,0.6815,406537937.2473867,0.6937,0.6937,703774643.5970924,-0.0,596703311.6455731,0.4312
93,376083402.8778449,0.6717,0.6717,577352410.8917778,0.725,0.725,675663655.4198992,0.7004,0.7004,473850584.5816025,0.6692,0.6692,491009671.8419875,0.6258,0.6258,226192556.44829834,0.672,0.672,606646137.3670785,0.6817,0.6817,1404748394.5367846,-0.0,1051290912.4101697,0.4312
94,467367755.9095862,0.6652,0.6652,673447313.5599265,0.7211,0.7211,831164099.0472457,0.694,0.694,634487556.6320947,0.6638,0.6638,576745296.4380078,0.631,0.631,262673172.46451318,0.6622,0.6622,714889038.8365229,0.6765,0.6765,1797069621.515617,-0.0,1401467517.0308375,0.4312
95,536003049.87411267,0.6541,0.6541,737931247.0620809,0.7151,0.7151,993844049.6629887,0.6838,0.6838,792630832.8798313,0.6645,0.6645,662789537.9575602,0.6329,0.6329,322685988.556695,0.6539,0.6539,811759988.9724481,0.6642,0.6642,2306738519.555394,-0.0,1720592588.5605252,0.4316
96,537030675.3775891,0.6608,0.6608,668822757.4416465,0.7241,0.7241,962365197.982621,0.689,0.689,835572562.3434116,0.6668,0.6668,638264680.0835581,0.6396,0.6396,316819784.710852,0.6691,0.6691,697462323.9228889,0.6733,0.6733,2235935848.9519415,-0.0,1718085696.1957893,0.4317
97,526013417.7391975,0.6641,0.6641,606158445.1753664,0.7219,0.7219,912005061.8567384,0.695,0.695,837541663.9752511,0.6702,0.6702,585350111.9695622,0.6471,0.6471,302298250.3175347,0.6777,0.6777,611604021.0517808,0.6809,0.6809,2169200635.71186,-0.0,1720698722.66814,0.4316
98,484875474.70305717,0.6587,0.6587,551206232.5516106,0.7241,0.7241,860722716.1349471,0.6926,0.6926,835332695.1960316,0.6644,0.6644,521952549.5802429,0.6462,0.6462,292182104.11109996,0.678,0.678,543590958.1775287,0.6826,0.6826,2054627077.1360052,-0.0,1583107768.3054366,0.4312
99,421571604.48384774,0.6676,0.6676,480696015.7037036,0.7324,0.7324,805228364.9864869,0.6975,0.6975,789528372.9520798,0.6696,0.6696,444483952.81349605,0.6428,0.6428,275111019.1194657,0.6809,0.6809,472526094.5197448,0.6841,0.6841,1902348358.332971,-0.0,1335336302.2680802,0.4312
100,351310944.42127293,0.6816,0.6816,400410413.89440167,0.7367,0.7367,696790040.6091828,0.7144,0.7144,698662858.7343123,0.6734,0.6734,357785573.87204516,0.6461,0.6461,241971956.55977532,0.6972,0.6972,398166019.0539267,0.7013,0.7013,1686574561.6034613,-0.0,1053167364.5900792,0.4312
101,255904086.13077375,0.6834,0.6834,290052881.3674115,0.7405,0.7405,547333927.0495181,0.718,0.718,555144857.1207459,0.6792,0.6792,265691191.62353212,0.6477,0.6477,190350878.61218312,0.6991,0.6991,304222013.6704571,0.7075,0.7075,1284833087.7424548,-0.0,768670201.5567018,0.4312
102,187891551.88384593,0.6824,0.6824,216613156.83670172,0.7444,0.7444,413384205.0511042,0.7211,0.7211,416089429.2899329,0.6838,0.6838,218490892.16763595,0.6489,0.6489,149026078.0329791,0.6986,0.6986,250125506.49825004,0.7058,0.7058,1048937420.202337,-0.0,600384745.5511699,0.4316
103,142454746.92291784,0.6821,0.6821,189312204.31642833,0.7481,0.7481,310650064.72470635,0.7273,0.7273,298281474.1528123,0.6859,0.6859,189692711.80873042,0.6516,0.6516,118370051.36626904,0.6998,0.6998,226274738.36925924,0.7065,0.7065,854147088.8568318,-0.0,538987638.0757159,0.4317
104,87511303.97710046,0.6787,0.6787,160249211.22763047,0.7473,0.7473,259739674.50667733,0.7271,0.7271,204337172.9880624,0.6857,0.6857,171739750.70496717,0.649,0.649,95826890.56424215,0.7002,0.7002,184740576.98119032,0.7035,0.7035,638071930.9057592,-0.0,492561385.9035243,0.4316
105,55328500.63618767,0.6715,0.6715,151634820.17614105,0.7458,0.7458,204550772.8434889,0.727,0.727,124463996.84055574,0.6861,0.6861,165407884.41218093,0.65,0.65,60099705.87482761,0.6981,0.6981,169466064.10534233,0.7021,0.7021,462751552.912676,-0.0,447812570.3464273,0.4312
106,78447044.66753057,0.6725,0.6725,184247763.84618473,0.7474,0.7474,262731777.5910619,0.7278,0.7278,178027958.60306975,0.6875,0.6875,212692998.9513748,0.6507,0.6507,92857176.93455642,0.7016,0.7016,206863389.3505379,0.6994,0.6994,591437625.396074,-0.0,588929824.2389247,0.4312
107,85439261.51969475,0.6656,0.6656,181910500.6925308,0.7435,0.7435,284556293.60612565,0.7262,0.7262,274739052.2635267,0.6801,0.6801,222840654.8147176,0.6439,0.6439,110780021.61616978,0.7036,0.7036,229346411.09143278,0.6963,0.6963,606908064.1455739,-0.0,603162288.3940977,0.4312
108,104708465.97124621,0.6564,0.6564,178473926.020002,0.7365,0.7365,255998314.19446027,0.7208,0.7208,351541535.282451,0.6771,0.6771,248409803.86387798,0.642,0.642,120811366.19812427,0.7022,0.7022,225920425.7256653,0.6883,0.6883,659332760.3327267,-0.0,655628816.4870689,0.4312
109,112048245.4803729,0.657,0.657,146404786.3036678,0.7333,0.7333,195696501.38040665,0.7166,0.7166,415426061.1841661,0.6745,0.6745,233863350.9216738,0.6353,0.6353,133105732.27257082,0.6968,0.6968,197347002.8997516,0.6897,0.6897,590101255.4812323,-0.0,596636290.361365,0.4316
110,90653171.84675084,0.65,0.65,124496991.07900013,0.7281,0.7281,181389523.37522456,0.7117,0.7117,374442166.8138209,0.674,0.674,193962395.87640423,0.6258,0.6258,121466071.21343519,0.6888,0.6888,172895244.80191046,0.6808,0.6808,514106479.9898295,-0.0,489410903.8656806,0.4317
111,59273222.524135634,0.6568,0.6568,113312828.74328686,0.7364,0.7364,168170213.66148102,0.7137,0.7137,306201902.1004301,0.6727,0.6727,135470830.3311669,0.6287,0.6287,101434148.24874184,0.6845,0.6845,154052305.84205976,0.6829,0.6829,409353125.99729514,-0.0,322511048.3486805,0.4316
112,53276494.01798757,0.6654,0.6654,111853827.39170255,0.7412,0.7412,159034664.61753598,0.7195,0.7195,261620607.06804994,0.673,0.673,117599402.74563685,0.6338,0.6338,102198608.26502508,0.6887,0.6887,153357914.42590907,0.6866,0.6866,375048826.3927594,-0.0,253157629.4413091,0.4312
113,55544788.77160762,0.6683,0.6683,120473059.74796571,0.7412,0.7412,155368007.2233326,0.7244,0.7244,227332456.40336785,0.677,0.677,107690849.28641237,0.6367,0.6367,104391365.05952802,0.6943,0.6943,159476027.4501271,0.6917,0.6917,402737811.1568734,-0.0,240410576.05869758,0.4312
114,59340323.22050324,0.6502,0.6502,139786707.30226696,0.7343,0.7343,174232233.92372847,0.7061,0.7061,191263821.50286672,0.6635,0.6635,101861908.39754058,0.636,0.636,103510083.03737156,0.6774,0.6774,170793696.73177144,0.6694,0.6694,455277628.82109135,-0.0,290452601.5831419,0.4312
115,60408814.81199845,0.642,0.642,156879907.7686617,0.7268,0.7268,197072898.58587262,0.6967,0.6967,187902130.57261372,0.6547,0.6547,112193246.44708957,0.6289,0.6289,105932256.11152394,0.6699,0.6699,183217593.3228911,0.6607,0.6607,541129406.2870164,-0.0,341794463.40906423,0.4312
116,66938087.19154609,0.6452,0.6452,166933590.16344655,0.7278,0.7278,217971080.24380922,0.6995,0.6995,182287381.4893822,0.6598,0.6598,120248291.36970344,0.6314,0.6314,110285947.94317715,0.6734,0.6734,187687618.52896735,0.6631,0.6631,597049191.6958464,-0.0,390014069.1421601,0.4316
117,66919867.442092665,0.6397,0.6397,166830493.78760144,0.7202,0.7202,219370848.22291058,0.6922,0.6922,172790649.34951815,0.6535,0.6535,119350362.78126869,0.6242,0.6242,107934402.17652345,0.6697,0.6697,187177251.49946764,0.6575,0.6575,624031671.254809,-0.0,401592206.8353983,0.4317
118,71452534.40559904,0.638,0.638,175073405.41580465,0.7205,0.7205,228694267.4791141,0.6935,0.6935,151375772.77446625,0.6527,0.6527,121699565.24235958,0.6236,0.6236,102908641.04098521,0.6698,0.6698,202559143.44834697,0.659,0.659,652320144.6030775,-0.0,416530202.53285086,0.4316
119,84423156.75764921,0.6443,0.6443,184673545.8959112,0.7248,0.7248,249030696.9379453,0.7004,0.7004,150073646.3474447,0.6624,0.6624,127482022.86813964,0.6349,0.6349,106066789.85544309,0.6708,0.6708,215867702.82848594,0.6619,0.6619,699347393.8563938,-0.0,455320730.01838803,0.4312
120,92559145.63487507,0.6493,0.6493,179512708.29513863,0.7273,0.7273,237838741.59536347,0.7036,0.7036,168652365.87791932,0.662,0.662,142895859.03326204,0.6346,0.6346,110777495.76713656,0.6712,0.6712,229172100.21528053,0.6709,0.6709,690465357.5817277,-0.0,458891007.37128186,0.4312
121,98941337.00402223,0.6492,0.6492,152877744.5039865,0.7239,0.7239,184706102.75670764,0.6999,0.6999,173876072.0086981,0.6639,0.6639,148127612.17906845,0.6351,0.6351,97932437.56796448,0.6666,0.6666,207149086.24170953,0.6721,0.6721,630869815.3705783,-0.0,483178189.8564376,0.4312
122,89451511.16032535,0.6486,0.6486,96300910.03914878,0.7213,0.7213,127914164.20872562,0.6985,0.6985,144417894.56569785,0.6604,0.6604,107961270.83754021,0.6333,0.6333,75104459.96495093,0.6656,0.6656,149157804.26524514,0.673,0.673,436123349.70021605,-0.0,372351965.96702194,0.4312
123,60214862.835680686,0.6417,0.6417,16506583.408591567,0.7178,0.7178,30566734.15990515,0.6985,0.6985,69349304.66342829,0.6575,0.6575,49237780.82760132,0.6358,0.6358,18779651.546590082,0.6681,0.6681,49770450.45298292,0.6708,0.6708,94247246.08000568,-0.0,199287402.22139078,0.4316
124,58005327.79206593,0.6444,0.6444,16229674.210780708,0.7186,0.7186,30950058.948459797,0.6992,0.6992,51217945.981710516,0.6578,0.6578,47532280.74864868,0.6396,0.6396,18763380.09397227,0.6689,0.6689,46022470.812879965,0.6756,0.6756,86663187.75819293,-0.0,199945679.01420772,0.4317
125,55019755.080347806,0.6436,0.6436,21837029.926986005,0.7195,0.7195,33365978.45003963,0.697,0.697,37022308.49103996,0.6578,0.6578,40254079.60069467,0.6442,0.6442,18119459.824426316,0.6708,0.6708,45990964.76233156,0.6791,0.6791,76860623.37658198,-0.0,177886219.89520454,0.4316
126,30331988.482952558,0.6456,0.6456,98699411.53582716,0.7143,0.7143,187492862.86488003,0.6946,0.6946,44542602.733747475,0.6593,0.6593,36326067.60886253,0.6413,0.6413,37896726.29491556,0.6761,0.6761,55114193.267511845,0.6815,0.6815,206907654.36054054,-0.0,101819078.75222167,0.4312
127,26621116.407902982,0.6406,0.6406,195765326.2249991,0.7023,0.7023,333871336.040595,0.6814,0.6814,70765057.65680744,0.6495,0.6495,40715640.76099964,0.639,0.639,60960176.77926306,0.6656,0.6656,82922656.5966661,0.6766,0.6766,386260292.096239,-0.0,82840565.81777652,0.4312
128,26552965.34010657,0.6417,0.6417,255242726.50348905,0.701,0.701,400671963.943976,0.6812,0.6812,84669374.27752826,0.652,0.652,42490491.208216615,0.638,0.638,72180286.44557557,0.6683,0.6683,108445650.48398487,0.6847,0.6847,464676125.3959239,-0.0,84605620.18254176,0.4312
129,26202159.45481342,0.6475,0.6475,297481786.85388017,0.706,0.706,480781320.03959346,0.6838,0.6838,89046933.29052387,0.657,0.657,50559155.550902806,0.6451,0.6451,90766196.8840587,0.6743,0.6743,128699963.9326445,0.6905,0.6905,518370909.9391522,-0.0,82376548.55004154,0.4312
130,24892243.157953892,0.645,0.645,325521689.7346931,0.7076,0.7076,512938345.1090809,0.6816,0.6816,92387176.7441519,0.6508,0.6508,50975676.60048172,0.6472,0.6472,92579752.48559107,0.6724,0.6724,137650803.2558894,0.69,0.69,566254419.9592831,-0.0,81925722.4132483,0.4316
131,16639068.505330447,0.6374,0.6374,339352569.97763896,0.6964,0.6964,527938206.54485023,0.6805,0.6805,94128645.85506898,0.6398,0.6398,47066959.72755568,0.6433,0.6433,99494578.32383323,0.6752,0.6752,146532242.82023442,0.6896,0.6896,568668715.3410932,-0.0,59259794.58470588,0.4317
